source_text,target_text,predicted,original
hazy yellow orange colour. big white long lasting head. aroma of bananas and cloves. bananas and cloves in the flavor aswell. but also a malty taste with hints of hops in the aftertaste. this is a lovely weissbier.,Positive,Positive,Positive
"i ordered this beer while having lunch at a tepanyaki restaurant. it s definitely not a great beer but if you want something neutral to go with a meal, it will do the trick. i won t order it again.",Negative,Negative,Negative
"the aroma is malty and floral with hints of fresh grain, straw and some herbs the taste is very clear and refreshening, malty and herbal, with notes of grain, hay and some grasses bitter and dry aftertaste",Positive,Positive,Positive
"bottle at sidewalk cafe, venice beach, los angeles. mmmm another light beer for lunch! reasonable to start off with fairly chunky taste - citric, fizzy. then te flavour disintegrates and is no more. ends up with a smooth, flat, burnt plastic aftertaste. still one of the better lights i ve had.",Positive,Negative,Positive
"nice hops. the malt is a little watery in flavor, with hops being the emphasis. great head. this is a good lawnmower beer.",Positive,Positive,Positive
"strong aromas of coffee and chocolate,licorice,caramel bit of smoke and some spice deep dark brown black liquid allows no light thru with thin tan head leaves plenty of lacingyou get all the flavors of the aroma in the flavor along with a bit of dark fruitiness,vinous quality,and even a bitter hint of tingly hops at the endkind of reminds me of old rasputin with a bit more fruit and licorice flavoroverall if you like russian imperials youll be very pleased by this",Positive,Positive,Positive
"draught at caf dello studente, rome. clear, golden colour with a thin white head. sweet aroma with grasses, hay, pale malts and bread. an earthy touch. taste is lightly sweet. medium body with a creamy texture and a soft carbonation. short, dry finish with pale malts and grains. your run-of-the-mill industrial lager. nice, cold offering after exploring rome, trough.",Neutral,Neutral,Neutral
"pours a piss-colored yellow, with a white head and slight skunky aroma. not bad, but i d rather have a hofbrau original or st. pauli girl.",Negative,Negative,Negative
"bottle drunk at home. clear yellow appearance with big frothy white head. aroma is wheat and banana. flavour is wheat, spiced, banana and slight orange.",Positive,Positive,Positive
"bottle poured a clear gold with a white head. aromas of carmel, pine, and spice. palate is smooth and slightly resiny. flavors of bread, earth, pine, with a bitter finish.",Positive,Positive,Positive
"nowhere near the amount of adjuncts that budweiser uses but still a blah yellow beer. when there s nothing decent on tap, i d have this with bbq or a burger. taste that filtered corn rice-water everyone!",Negative,Negative,Negative
"f big, white, good retention. c pale gold, clear. a typical macro, malt, light bread, grassy, floral, hint of caramel, light cardboard. t malt, bread, corny, sweet grass, hint of green tea, light to medium body, medium carbonation, very ordinary beer, 355ml can @ incheon airport in seoul.",Negative,Negative,Negative
